fips,male_total,male_disabled_under_5,male_nondisabled_under_5,male_disabled_5_to_17,male_nondisabled_5_to_17,male_disabled_18_to_34,male_nondisabled_18_to_34,male_disabled_35_to_64,male_nondisabled_35_to_64,male_disabled_65_to_74,male_nondisabled_65_to_74,male_disabled_75_plus,male_nondisabled_75_plus,female_total,female_disabled_under_5,female_nondisabled_under_5,female_disabled_5_to_17,female_nondisabled_5_to_17,female_disabled_18_to_34,female_nondisabled_18_to_34,female_disabled_35_to_64,female_nondisabled_35_to_64,female_disabled_65_to_74,female_nondisabled_65_to_74,female_disabled_75_plus,female_nondisabled_75_plus
42101008802,3088.0,0.0,5.0,0.0,49.0,54.0,2710.0,53.0,177.0,0.0,9.0,31.0,0.0,3364.0,0.0,19.0,0.0,168.0,6.0,2980.0,27.0,150.0,0.0,0.0,14.0,0.0
42101008702,1378.0,0.0,33.0,0.0,154.0,54.0,702.0,88.0,329.0,0.0,14.0,0.0,4.0,1380.0,0.0,12.0,0.0,60.0,30.0,860.0,19.0,345.0,7.0,33.0,0.0,14.0
42101012201,1409.0,0.0,32.0,103.0,135.0,29.0,438.0,66.0,429.0,71.0,15.0,80.0,11.0,1705.0,0.0,61.0,0.0,59.0,0.0,548.0,147.0,335.0,100.0,166.0,250.0,39.0
42101009801,1089.0,24.0,52.0,29.0,174.0,32.0,248.0,46.0,370.0,21.0,58.0,17.0,18.0,1302.0,0.0,61.0,43.0,184.0,7.0,253.0,151.0,476.0,24.0,44.0,31.0,28.0
42101007101,1135.0,0.0,181.0,0.0,151.0,67.0,247.0,35.0,329.0,27.0,82.0,4.0,12.0,1403.0,0.0,167.0,19.0,89.0,55.0,407.0,89.0,372.0,56.0,43.0,78.0,28.0
42101002801,2671.0,0.0,172.0,86.0,373.0,51.0,1075.0,234.0,501.0,32.0,103.0,8.0,36.0,2161.0,0.0,29.0,10.0,356.0,106.0,643.0,220.0,580.0,6.0,69.0,128.0,14.0
42101980500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42101000801,866.0,0.0,67.0,0.0,48.0,0.0,408.0,30.0,234.0,0.0,43.0,9.0,27.0,541.0,0.0,24.0,0.0,0.0,0.0,431.0,8.0,46.0,7.0,25.0,0.0,0.0
42101001101,1597.0,0.0,60.0,0.0,0.0,55.0,665.0,134.0,474.0,35.0,95.0,0.0,79.0,2150.0,0.0,162.0,3.0,84.0,22.0,1245.0,33.0,335.0,64.0,151.0,18.0,33.0
42101027402,3442.0,0.0,47.0,106.0,556.0,60.0,1003.0,379.0,1083.0,1.0,161.0,46.0,0.0,3208.0,0.0,163.0,101.0,580.0,34.0,533.0,221.0,1287.0,40.0,138.0,69.0,42.0
