fips,lowest_quintile,second_quintile,third_quintile,fourth_quintile,highest_quintile
42101014900,419.0,9352.0,17296.0,34137.0,75535.0
42101011300,3010.0,13335.0,36205.0,51899.0,95581.0
42101011400,7815.0,24534.0,45890.0,74174.0,158430.0
42101011700,11774.0,26187.0,58597.0,93290.0,207676.0
42101013100,4374.0,17333.0,39200.0,78712.0,178508.0
42101013800,5696.0,13706.0,27374.0,56136.0,98909.0
42101016200,2590.0,10246.0,22167.0,40902.0,102097.0
42101017900,9005.0,21767.0,33440.0,46097.0,80348.0
42101018300,17551.0,39778.0,66536.0,96149.0,157628.0
42101019000,7831.0,21820.0,36384.0,50231.0,124509.0
42101020600,3228.0,21165.0,42795.0,74720.0,266468.0
42101021500,16622.0,43911.0,68641.0,96853.0,183235.0
42101021600,17158.0,47816.0,73356.0,112128.0,217810.0
42101022000,30011.0,63368.0,102049.0,140129.0,249062.0
42101000200,3343.0,13900.0,30508.0,73565.0,222129.0
42101000600,12719.0,48268.0,78111.0,118720.0,262253.0
42101002200,4998.0,28801.0,59520.0,100118.0,177013.0
42101002300,17034.0,34649.0,56069.0,85246.0,179623.0
42101004101,4910.0,17063.0,30639.0,54088.0,93736.0
42101004202,10101.0,29428.0,47639.0,68492.0,122912.0
42101005500,11919.0,30717.0,50175.0,75411.0,135614.0
42101006900,1575.0,9887.0,14122.0,27901.0,57358.0
42101007700,2099.0,19343.0,30320.0,49171.0,98157.0
42101011000,4662.0,10798.0,20141.0,40701.0,102575.0
42101011200,4200.0,14037.0,27585.0,47788.0,97010.0
42101004102,8183.0,23925.0,38925.0,59291.0,90674.0
42101015800,12097.0,39982.0,63262.0,98916.0,169404.0
42101009400,2388.0,11046.0,17352.0,31774.0,93452.0
42101009500,2618.0,10252.0,23093.0,43696.0,92663.0
42101036301,19494.0,49441.0,66105.0,101862.0,166488.0
42101035302,15165.0,34292.0,51812.0,72191.0,137855.0
42101035500,7542.0,24564.0,47690.0,81206.0,198446.0
42101036203,22076.0,50304.0,73190.0,103365.0,180472.0
42101036400,,,,,
42101020500,199.0,7254.0,17298.0,34222.0,61834.0
42101021800,12321.0,32232.0,51334.0,76359.0,138173.0
42101021900,22959.0,50600.0,75976.0,112262.0,184484.0
42101025500,9785.0,34252.0,62196.0,94351.0,204618.0
42101025600,20823.0,52000.0,83622.0,134159.0,296110.0
42101026301,8411.0,24428.0,40579.0,68350.0,109809.0
42101027000,12932.0,28643.0,54995.0,97075.0,162057.0
42101024700,2995.0,12071.0,22444.0,41492.0,85404.0
42101003800,15000.0,32059.0,54752.0,83757.0,162641.0
42101012500,9860.0,41845.0,72677.0,122072.0,357649.0
42101021000,13269.0,29896.0,64177.0,111264.0,198633.0
42101034702,21533.0,48877.0,73175.0,112957.0,161810.0
42101026600,12551.0,28602.0,48014.0,76261.0,135192.0
42101010400,3891.0,12466.0,21569.0,44887.0,72898.0
42101013200,6705.0,11062.0,19995.0,38848.0,99450.0
42101017601,1706.0,9187.0,13849.0,24803.0,75412.0
42101003600,5038.0,11549.0,18558.0,36846.0,92440.0
42101017000,0.0,7409.0,36092.0,70007.0,153169.0
42101024300,6093.0,16812.0,32549.0,55276.0,133391.0
42101027600,5817.0,17523.0,29010.0,54002.0,98022.0
42101001600,29135.0,61576.0,94213.0,154762.0,363675.0
42101003902,11007.0,34805.0,57473.0,76716.0,138623.0
42101007800,4998.0,21957.0,40272.0,75314.0,152612.0
42101009300,4590.0,14728.0,25799.0,51839.0,89816.0
42101032100,7433.0,19643.0,36633.0,56204.0,193638.0
42101021400,12943.0,44491.0,68495.0,99616.0,184064.0
42101034900,9665.0,27167.0,46898.0,67479.0,117795.0
42101026900,7932.0,21032.0,52277.0,83155.0,145165.0
42101029200,10069.0,26683.0,43682.0,70740.0,149797.0
42101031300,10545.0,23860.0,39653.0,61057.0,105105.0
42101032500,10638.0,23981.0,44116.0,61235.0,118617.0
42101001400,10181.0,43443.0,84095.0,148749.0,269518.0
42101036302,22324.0,36955.0,54901.0,77254.0,135335.0
42101020102,3983.0,16456.0,28502.0,43338.0,108299.0
42101031101,6808.0,22916.0,34411.0,48364.0,94869.0
42101031102,9127.0,26382.0,41671.0,62094.0,155601.0
42101019502,3720.0,11120.0,19211.0,36439.0,57522.0
42101019501,2524.0,8885.0,13283.0,25257.0,54625.0
42101028901,3920.0,16124.0,31746.0,52280.0,90918.0
42101028902,1794.0,13687.0,26227.0,44939.0,96452.0
42101033101,12381.0,31447.0,57320.0,83712.0,146734.0
42101033102,11620.0,25762.0,45351.0,72203.0,122513.0
42101031501,11835.0,27894.0,45723.0,75512.0,129796.0
42101030501,4948.0,19160.0,33922.0,54221.0,105753.0
42101030502,7249.0,24252.0,41619.0,64659.0,109256.0
42101009802,7228.0,26643.0,60671.0,86596.0,134739.0
42101035602,24028.0,44937.0,74338.0,109647.0,236292.0
42101018001,8199.0,28438.0,57039.0,92130.0,187173.0
42101017702,3280.0,9428.0,15244.0,29475.0,85306.0
42101017701,989.0,7898.0,17881.0,33396.0,76791.0
42101035701,9835.0,21034.0,34198.0,58241.0,126678.0
42101035702,8516.0,21659.0,36574.0,59692.0,97857.0
42101035601,8812.0,29078.0,50906.0,92939.0,189713.0
42101015101,3472.0,14282.0,23481.0,37964.0,113550.0
42101015102,1075.0,9271.0,13071.0,24216.0,72239.0
42101036501,11779.0,24732.0,44126.0,75605.0,147081.0
42101980400,,,,,
42101013402,16241.0,56007.0,88969.0,127636.0,258768.0
42101013401,11828.0,46798.0,86359.0,133000.0,320282.0
42101038000,8602.0,22705.0,40068.0,64864.0,115115.0
42101013601,26381.0,71738.0,111566.0,161390.0,355943.0
42101037900,11836.0,25949.0,51827.0,89917.0,148475.0
42101038200,6363.0,18485.0,27777.0,47915.0,118463.0
42101038100,7746.0,16889.0,33470.0,50850.0,95724.0
42101038400,17513.0,45326.0,83363.0,126738.0,237832.0
42101001002,31620.0,72334.0,111040.0,173378.0,467782.0
42101001001,20684.0,58789.0,100419.0,160546.0,469915.0
42101000402,13814.0,42036.0,72351.0,102904.0,258794.0
42101000401,9049.0,30219.0,61422.0,106600.0,246077.0
42101012204,5754.0,24527.0,53792.0,80648.0,126591.0
42101012203,,,,,
42101013602,15701.0,50899.0,81902.0,130073.0,264096.0
42101034501,8111.0,17780.0,30136.0,51815.0,112015.0
42101034502,10294.0,28396.0,44555.0,66420.0,128085.0
42101001102,10844.0,43937.0,74077.0,118233.0,263850.0
42101000902,6876.0,16459.0,44020.0,117962.0,383745.0
42101000901,2993.0,21728.0,44135.0,66899.0,140966.0
42101017201,2501.0,13237.0,25936.0,45049.0,113836.0
42101017202,0.0,6092.0,15486.0,31161.0,59122.0
42101027401,2177.0,15679.0,28531.0,44611.0,93842.0
42101020101,0.0,3644.0,12337.0,23797.0,58138.0
42101989100,,,,,
42101980200,,,,,
42101000804,26033.0,66033.0,100132.0,160113.0,397957.0
42101001202,21075.0,56625.0,77914.0,126512.0,350039.0
42101001201,31906.0,65821.0,102179.0,165201.0,469218.0
42101000803,18740.0,39725.0,55217.0,94626.0,297297.0
42101980900,,,,,
42101002702,17191.0,38931.0,66620.0,97837.0,198712.0
42101003002,4927.0,16333.0,34213.0,69205.0,164445.0
42101003001,14299.0,30199.0,46568.0,68156.0,154482.0
42101002802,15187.0,34722.0,62426.0,96881.0,162106.0
42101980700,,,,,
42101002701,7301.0,23186.0,47648.0,79842.0,139740.0
42101980600,,,,,
42101032900,5415.0,19636.0,37598.0,54540.0,128065.0
42101034802,9049.0,28404.0,42187.0,78550.0,161231.0
42101034803,17862.0,36700.0,61722.0,92512.0,140461.0
42101024000,6238.0,23369.0,41585.0,64886.0,170300.0
42101028100,1385.0,14029.0,30642.0,52463.0,119588.0
42101028300,1897.0,10492.0,24862.0,46740.0,100781.0
42101030800,13099.0,34805.0,54592.0,80433.0,141258.0
42101031000,13543.0,29497.0,44328.0,79509.0,161933.0
42101033300,7285.0,25294.0,43304.0,75057.0,143063.0
42101033600,10719.0,30373.0,44634.0,72173.0,121853.0
42101036303,21321.0,44661.0,65066.0,99994.0,172267.0
42101036600,31801.0,77493.0,112002.0,147047.0,355293.0
