fips,car_truck_van,public_transit_total,bus,trolley,subway,railroad,ferryboat,taxicab,motorcycle,bicycle,walked,other_means,worked_at_home
42101030900,1677.0,224.0,183.0,0.0,33.0,8.0,0.0,25.0,0.0,0.0,56.0,8.0,48.0
42101032000,2136.0,663.0,359.0,0.0,213.0,91.0,0.0,36.0,0.0,0.0,83.0,9.0,99.0
42101034200,1361.0,193.0,23.0,0.0,13.0,157.0,0.0,0.0,0.0,0.0,9.0,0.0,34.0
42101001500,568.0,429.0,187.0,0.0,174.0,68.0,0.0,0.0,0.0,129.0,632.0,13.0,185.0
42101002900,811.0,674.0,55.0,12.0,547.0,60.0,0.0,10.0,52.0,202.0,223.0,0.0,111.0
42101003702,760.0,622.0,563.0,0.0,59.0,0.0,0.0,0.0,0.0,11.0,110.0,13.0,41.0
42101014000,466.0,632.0,329.0,0.0,264.0,39.0,0.0,27.0,0.0,81.0,172.0,12.0,30.0
42101014100,324.0,262.0,207.0,0.0,55.0,0.0,0.0,76.0,0.0,51.0,128.0,0.0,31.0
42101014400,1078.0,572.0,181.0,0.0,355.0,27.0,9.0,55.0,0.0,179.0,98.0,35.0,69.0
42101015200,583.0,546.0,546.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,103.0,0.0,74.0
42101015300,398.0,418.0,185.0,0.0,214.0,19.0,0.0,9.0,0.0,23.0,347.0,5.0,41.0
42101015700,606.0,487.0,266.0,0.0,200.0,21.0,0.0,0.0,6.0,149.0,135.0,0.0,12.0
42101016000,2289.0,742.0,321.0,0.0,364.0,57.0,0.0,0.0,25.0,100.0,252.0,0.0,125.0
42101016800,561.0,453.0,369.0,0.0,45.0,39.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0
42101020200,527.0,360.0,324.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0
42101020300,468.0,250.0,154.0,0.0,77.0,19.0,0.0,0.0,0.0,0.0,6.0,7.0,74.0
42101020800,724.0,289.0,56.0,0.0,30.0,203.0,0.0,0.0,0.0,24.0,64.0,0.0,43.0
42101020900,1176.0,309.0,204.0,0.0,29.0,76.0,0.0,0.0,0.0,0.0,50.0,6.0,171.0
42101020700,2000.0,780.0,178.0,0.0,93.0,509.0,0.0,0.0,0.0,53.0,168.0,14.0,160.0
42101018400,857.0,151.0,82.0,0.0,37.0,32.0,0.0,0.0,0.0,0.0,42.0,10.0,8.0
42101014800,177.0,95.0,82.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0
42101014900,455.0,373.0,312.0,0.0,40.0,21.0,0.0,8.0,0.0,0.0,72.0,17.0,0.0
42101011300,710.0,610.0,588.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0
42101011400,1622.0,1512.0,1257.0,8.0,173.0,74.0,0.0,0.0,0.0,0.0,137.0,88.0,72.0
42101011700,388.0,141.0,97.0,0.0,13.0,31.0,0.0,0.0,0.0,8.0,123.0,0.0,32.0
42101013100,336.0,199.0,165.0,0.0,18.0,16.0,0.0,0.0,0.0,24.0,101.0,0.0,13.0
42101013800,391.0,203.0,198.0,0.0,0.0,5.0,0.0,0.0,0.0,28.0,35.0,0.0,25.0
42101016200,369.0,229.0,136.0,0.0,46.0,47.0,0.0,0.0,0.0,30.0,78.0,4.0,77.0
42101017900,1264.0,410.0,317.0,0.0,93.0,0.0,0.0,17.0,33.0,0.0,153.0,12.0,0.0
42101018300,1510.0,183.0,118.0,0.0,65.0,0.0,0.0,0.0,0.0,31.0,68.0,25.0,30.0
42101019000,2175.0,644.0,302.0,0.0,304.0,38.0,0.0,0.0,0.0,0.0,99.0,39.0,14.0
42101020600,394.0,96.0,37.0,0.0,19.0,40.0,0.0,0.0,0.0,8.0,60.0,0.0,42.0
42101021500,1965.0,350.0,126.0,0.0,34.0,190.0,0.0,0.0,31.0,0.0,60.0,18.0,75.0
42101021600,975.0,349.0,182.0,0.0,24.0,143.0,0.0,0.0,0.0,0.0,25.0,15.0,13.0
42101022000,546.0,94.0,30.0,0.0,17.0,47.0,0.0,0.0,0.0,4.0,1.0,10.0,4.0
42101000200,433.0,298.0,182.0,0.0,101.0,15.0,0.0,0.0,0.0,29.0,529.0,0.0,9.0
42101000600,197.0,112.0,19.0,0.0,88.0,5.0,0.0,0.0,0.0,12.0,370.0,12.0,75.0
42101002200,467.0,445.0,279.0,0.0,140.0,26.0,0.0,41.0,0.0,107.0,249.0,0.0,45.0
42101002300,617.0,472.0,194.0,8.0,249.0,21.0,0.0,9.0,9.0,344.0,229.0,0.0,16.0
42101004101,959.0,948.0,763.0,0.0,185.0,0.0,0.0,0.0,0.0,2.0,101.0,34.0,72.0
42101004202,1313.0,591.0,524.0,0.0,67.0,0.0,0.0,0.0,0.0,26.0,202.0,33.0,34.0
42101005500,2048.0,929.0,759.0,155.0,0.0,15.0,0.0,0.0,0.0,0.0,94.0,0.0,44.0
42101006900,121.0,286.0,277.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0
42101007700,220.0,202.0,138.0,19.0,28.0,17.0,0.0,0.0,0.0,50.0,342.0,0.0,76.0
42101011000,593.0,448.0,432.0,0.0,16.0,0.0,0.0,0.0,0.0,36.0,37.0,0.0,28.0
42101011200,930.0,738.0,613.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,23.0,89.0,0.0
